hospital_name,hospital_url
유앤아이의원(창동점),https://www.yeoshin.co.kr/hospitals/104077?from=events&tabmenu=EVENTS
샤인빔의원(송도점),https://www.yeoshin.co.kr/hospitals/104060?from=events&tabmenu=EVENTS
연세라헨느의원,https://www.yeoshin.co.kr/hospitals/285?from=events&tabmenu=EVENTS
닥터고운선의원,https://www.yeoshin.co.kr/hospitals/350?from=events&tabmenu=EVENTS
엘병원,https://www.yeoshin.co.kr/hospitals/4508?from=events&tabmenu=EVENTS
뷰티크의원(방배이수점),https://www.yeoshin.co.kr/hospitals/337?from=events&tabmenu=EVENTS
티아라의원,https://www.yeoshin.co.kr/hospitals/4651?from=events&tabmenu=EVENTS
늘샤인의원,https://www.yeoshin.co.kr/hospitals/5026?from=events&tabmenu=EVENTS
연세미사랑의원,https://www.yeoshin.co.kr/hospitals/4686?from=events&tabmenu=EVENTS
강남제이스타의원,https://www.yeoshin.co.kr/hospitals/103828?from=events&tabmenu=EVENTS
셀린피부과의원,https://www.yeoshin.co.kr/hospitals/1219?from=events&tabmenu=EVENTS
휴먼피부과의원(광명철산점),https://www.yeoshin.co.kr/hospitals/72180?from=events&tabmenu=EVENTS
쉬즈한의원(강남점),https://www.yeoshin.co.kr/hospitals/3594?from=events&tabmenu=EVENTS
서울상아치과의원,https://www.yeoshin.co.kr/hospitals/104084?from=events&tabmenu=EVENTS
참진한의원,https://www.yeoshin.co.kr/hospitals/4940?from=events&tabmenu=EVENTS
하늘안과(부산점),https://www.yeoshin.co.kr/hospitals/103932?from=events&tabmenu=EVENTS
하늘체한의원(분당점),https://www.yeoshin.co.kr/hospitals/5221?from=events&tabmenu=EVENTS
비즈밸리여성의원,https://www.yeoshin.co.kr/hospitals/104047?from=events&tabmenu=EVENTS
다온재한의원,https://www.yeoshin.co.kr/hospitals/5394?from=events&tabmenu=EVENTS
가로세로한의원(강남점),https://www.yeoshin.co.kr/hospitals/5206?from=events&tabmenu=EVENTS
닥터스팟여성의원,https://www.yeoshin.co.kr/hospitals/5461?from=events&tabmenu=EVENTS
이림한의원,https://www.yeoshin.co.kr/hospitals/4994?from=events&tabmenu=EVENTS
참다인한의원,https://www.yeoshin.co.kr/hospitals/5033?from=events&tabmenu=EVENTS
클라스웰의원,https://www.yeoshin.co.kr/hospitals/2773?from=events&tabmenu=EVENTS
마노필의원,https://www.yeoshin.co.kr/hospitals/5227?from=events&tabmenu=EVENTS
뮤즈의원(김해점),https://www.yeoshin.co.kr/hospitals/103975?from=events&tabmenu=EVENTS
블랑여성의원,https://www.yeoshin.co.kr/hospitals/79894?from=events&tabmenu=EVENTS
일라스의원,https://www.yeoshin.co.kr/hospitals/4933?from=events&tabmenu=EVENTS
유리움한의원,https://www.yeoshin.co.kr/hospitals/5118?from=events&tabmenu=EVENTS
유이성형외과의원,https://www.yeoshin.co.kr/hospitals/103940?from=events&tabmenu=EVENTS
애플산부인과의원(천호점),https://www.yeoshin.co.kr/hospitals/5388?from=events&tabmenu=EVENTS
아라의원,https://www.yeoshin.co.kr/hospitals/2767?from=events&tabmenu=EVENTS
나비성형외과의원,https://www.yeoshin.co.kr/hospitals/4868?from=events&tabmenu=EVENTS
쏘울성형외과의원(의정부점),https://www.yeoshin.co.kr/hospitals/4967?from=events&tabmenu=EVENTS
청담르벨의원,https://www.yeoshin.co.kr/hospitals/5009?from=events&tabmenu=EVENTS
